"CHSI_State_Name","CHSI_State_Abbr","CHSI_County_Name","Injury","Cancer","Population","Homicide","Suicide","HIV","Heart Disease","Max_Type","Max_Value","id"
"Illinois","IL","Jersey",2.99285047761806,2.19356240265302,22456,0,2.14492072000975,0,2.2257278311925,"Heart Disease",2.2257278311925,"17083"
"Illinois","IL","Jo Daviess",2.6560841592371,2.54760576538395,22580,0,2.48935249922991,0,1.96594347796596,"Cancer",2.54760576538395,"17085"
"Illinois","IL","Johnson",1.55093193492069,2.8350028319078,13169,0,2.21154482001183,0,2.61145365318833,"Cancer",2.8350028319078,"17087"
"Illinois","IL","Kane",0,0,482113,1.58489150423332,0,0.581485957498359,0,"Homicide",1.58489150423332,"17089"
"Illinois","IL","Kankakee",0.590387863109167,0.110120725555827,107972,0,0,0,0,"Cancer",0.110120725555827,"17091"
"Illinois","IL","Kendall",0.905885115905658,0,79514,0.460038755475698,0,0,0,"Homicide",0.460038755475698,"17093"
"Illinois","IL","Knox",0,2.47598738203803,53309,0,1.06643532728934,0,2.22289669030843,"Cancer",2.47598738203803,"17095"
"Illinois","IL","Lake",0,0,702682,0,0,0,0,"None",0,"17097"
"Illinois","IL","La Salle",0,0,112604,0,0,0,0,"None",0,"17099"
"Illinois","IL","Lawrence",3.01575996886753,2.36000411497976,15930,0,0,0,2.10813332628217,"Cancer",2.36000411497976,"17101"
"Illinois","IL","Lee",2.52810979280464,2.27952546412983,35669,0,1.81158285439876,0,2.21949872631598,"Cancer",2.27952546412983,"17103"
"Illinois","IL","Livingston",1.78090743863058,1.18968478704867,39186,0,1.40077170449309,0,1.37923404931145,"Suicide",1.40077170449309,"17105"
"Illinois","IL","Logan",0,1.95585690581896,30603,0,1.49163503810642,0,0.92661562937693,"Cancer",1.95585690581896,"17107"
"Illinois","IL","McDonough",2.40398526597018,2.22479911088647,31966,0,0,0,1.18413064444262,"Cancer",2.22479911088647,"17109"
"Illinois","IL","McHenry",0,0,303990,0,0,0,0,"None",0,"17111"
"Illinois","IL","McLean",0,0,159013,0,0,0,0,"None",0,"17113"
"Illinois","IL","Macon",0,0.0506442235874302,110167,0,0.0522768532859849,0,0,"Suicide",0.0522768532859849,"17115"
"Illinois","IL","Macoupin",2.05949407308682,0.64918780288104,49111,0,1.16456358367714,0,0.116246027966129,"Suicide",1.16456358367714,"17117"
"Illinois","IL","Madison",0,0,264309,0,0,0,0,"None",0,"17119"
"Illinois","IL","Marion",1.91434838678058,2.09814834964945,40144,0,1.50323233739561,0,2.47057533398788,"Heart Disease",2.47057533398788,"17121"
"Illinois","IL","Marshall",1.40680196996296,2.89008259137704,13217,0,2.30613543217576,0,2.52574474493284,"Cancer",2.89008259137704,"17123"
"Illinois","IL","Mason",2.99614458264931,2.61836761436153,15741,0,0,0,2.35690658055695,"Cancer",2.61836761436153,"17125"
"Illinois","IL","Massac",1.55202432751557,3.09990673938605,15348,0,0,0,3.12790830721613,"Heart Disease",3.12790830721613,"17127"
"Illinois","IL","Menard",1.91329829753379,2.91649597127696,12738,0,0,0,2.63694255722901,"Cancer",2.91649597127696,"17129"
"Illinois","IL","Mercer",1.65605779450407,2.50552032464373,16912,0,0,0,2.29211820786644,"Cancer",2.50552032464373,"17131"
"Illinois","IL","Monroe",0.580766112530611,2.13024340362163,31040,0,0,0,1.19677026145629,"Cancer",2.13024340362163,"17133"
"Illinois","IL","Montgomery",2.26027858094049,2.11627266468771,30396,0,2.2361232930913,0,1.51116995402831,"Suicide",2.2361232930913,"17135"
"Illinois","IL","Morgan",2.32990395996897,2.29340909295107,35722,0,0,0,2.45541885227038,"Heart Disease",2.45541885227038,"17137"
"Illinois","IL","Moultrie",0.225658374540264,2.59757792471765,14510,0,2.24888751961313,0,2.3063265623762,"Cancer",2.59757792471765,"17139"
"Illinois","IL","Ogle",1.61211343451079,0.439394286277656,54290,1.46074021306553,1.19274887313987,0,0,"Homicide",1.46074021306553,"17141"
"Illinois","IL","Peoria",0,0,182328,0,0,0,0,"None",0,"17143"
